number,season,episode,airdate,title,tvmaze link
36,2,2,12/5/2006,Penguin Keeper,https://www.tvmaze.com/episodes/77898/dirty-jobs-3x02-penguin-keeper
37,2,3,12/12/2006,Bell Maker,https://www.tvmaze.com/episodes/77899/dirty-jobs-3x03-bell-maker
38,2,4,12/19/2006,Mosquito Control Officer,https://www.tvmaze.com/episodes/77900/dirty-jobs-3x04-mosquito-control-officer
39,2,5,1/9/2007,Bug Breeder,https://www.tvmaze.com/episodes/77901/dirty-jobs-3x05-bug-breeder
40,2,6,1/16/2007,Poo Pot Maker,https://www.tvmaze.com/episodes/77902/dirty-jobs-3x06-poo-pot-maker
41,2,7,1/23/2007,Mule Logger,https://www.tvmaze.com/episodes/77903/dirty-jobs-3x07-mule-logger
42,2,8,1/30/2007,Well Digger,https://www.tvmaze.com/episodes/77904/dirty-jobs-3x08-well-digger
43,2,9,2/20/2007,Cave Digger,https://www.tvmaze.com/episodes/77873/dirty-jobs-3x09-cave-digger
44,2,10,2/27/2007,Salt Miner,https://www.tvmaze.com/episodes/2038499/dirty-jobs-3x10-salt-miner
45,2,11,3/6/2007,Wine Maker,https://www.tvmaze.com/episodes/77877/dirty-jobs-3x11-wine-maker
46,2,12,3/13/2007,Steam Ship Cleaner,https://www.tvmaze.com/episodes/77880/dirty-jobs-3x12-steam-ship-cleaner
47,2,13,6/26/2007,Billboard Installer,https://www.tvmaze.com/episodes/77876/dirty-jobs-3x13-billboard-installer
48,2,14,7/10/2007,Snake Wrangler,https://www.tvmaze.com/episodes/77874/dirty-jobs-3x14-snake-wrangler
49,2,15,7/17/2007,Leather Tanner,https://www.tvmaze.com/episodes/77890/dirty-jobs-3x15-leather-tanner
50,2,16,8/7/2007,Bridge Painter,https://www.tvmaze.com/episodes/77891/dirty-jobs-3x16-bridge-painter
51,2,17,8/14/2007,Vomit Island Workers,https://www.tvmaze.com/episodes/77875/dirty-jobs-3x17-vomit-island-workers
52,2,18,8/21/2007,Alligator Egg Collector,https://www.tvmaze.com/episodes/2038500/dirty-jobs-3x18-alligator-egg-collector
53,2,19,8/28/2007,Wild Goose Chase,https://www.tvmaze.com/episodes/2038501/dirty-jobs-3x19-wild-goose-chase
54,2,20,10/30/2007,Special Effects Artist,https://www.tvmaze.com/episodes/2038502/dirty-jobs-3x20-special-effects-artist
55,2,21,11/6/2007,Reef Ball Maker,https://www.tvmaze.com/episodes/2038503/dirty-jobs-3x21-reef-ball-maker
56,2,22,11/13/2007,Exotic Animal Keeper,https://www.tvmaze.com/episodes/2038504/dirty-jobs-3x22-exotic-animal-keeper
57,2,23,11/27/2007,Spray Insulation Technician,https://www.tvmaze.com/episodes/77924/dirty-jobs-s04-special-spray-insulation-technician
58,2,24,1/8/2008,Big Animal Vet,https://www.tvmaze.com/episodes/2038506/dirty-jobs-4x01-big-animal-vet
59,3,1,1/15/2008,Steel Mill Worker,https://www.tvmaze.com/episodes/77927/dirty-jobs-4x02-steel-mill-worker
60,3,2,1/22/2008,Cave Biologist,https://www.tvmaze.com/episodes/77905/dirty-jobs-4x03-cave-digger
61,3,3,1/29/2008,Buoy Cleaner,https://www.tvmaze.com/episodes/77929/dirty-jobs-4x04-buoy-cleaner
62,3,4,2/5/2008,Cranberry Farmer,https://www.tvmaze.com/episodes/78026/dirty-jobs-4x05-cranberry-farmer
63,3,5,2/12/2008,Mud Mineral Excavator,https://www.tvmaze.com/episodes/2039431/dirty-jobs-4x06-mud-mineral-excavator
64,3,6,4/14/2008,Dirty Jobs of the Big Apple,https://www.tvmaze.com/episodes/77934/dirty-jobs-4x07-dirty-jobs-of-the-big-apple
65,3,7,4/21/2008,Floating Fish Factory,https://www.tvmaze.com/episodes/77906/dirty-jobs-4x08-floating-fish-factory
66,3,8,4/28/2008,Dairy Cow Midwife,https://www.tvmaze.com/episodes/77907/dirty-jobs-4x09-dairy-cow-midwife
67,3,9,5/5/2008,Aerial Tram Greaser,https://www.tvmaze.com/episodes/77908/dirty-jobs-4x10-aerial-tram-greaser
68,3,10,5/12/2008,Turkey Inseminator,https://www.tvmaze.com/episodes/77909/dirty-jobs-4x11-turkey-inseminator
69,3,11,5/19/2008,Ice Salvage Crew,https://www.tvmaze.com/episodes/77939/dirty-jobs-4x12-ice-salvage-crew
70,3,12,6/2/2008,Wind Farm Technician,https://www.tvmaze.com/episodes/77940/dirty-jobs-4x13-wind-farm-technician
71,3,18,6/9/2008,Animal Barber,https://www.tvmaze.com/episodes/77916/dirty-jobs-4x14-animal-barber
72,3,13,10/7/2008,Tar Rigger,https://www.tvmaze.com/episodes/77944/dirty-jobs-5x01-tar-rigger
73,3,14,10/14/2008,Dirty Chip Maker,https://www.tvmaze.com/episodes/77945/dirty-jobs-5x02-dirty-chip-maker
74,3,15,10/21/2008,Sheep Castrator,https://www.tvmaze.com/episodes/77946/dirty-jobs-5x03-sheep-castrator
75,3,16,10/28/2008,Leech Trapper,https://www.tvmaze.com/episodes/77947/dirty-jobs-5x04-leech-trapper
76,3,17,11/11/2008,Mannequin Factory,https://www.tvmaze.com/episodes/77915/dirty-jobs-5x05-mannequin-factory
77,3,19,11/18/2008,Egg Farm,https://www.tvmaze.com/episodes/77917/dirty-jobs-5x06-egg-farm
78,3,20,11/25/2008,Vellum Maker,https://www.tvmaze.com/episodes/77918/dirty-jobs-5x07-vellum-maker
79,3,21,12/2/2008,Maggot Farmer,https://www.tvmaze.com/episodes/77919/dirty-jobs-5x08-maggot-farmer
80,3,22,12/9/2008,Gourd Maker,https://www.tvmaze.com/episodes/77920/dirty-jobs-5x09-gourd-maker
81,3,23,1/6/2009,Bologna Maker,https://www.tvmaze.com/episodes/77921/dirty-jobs-5x10-bologna-maker
82,3,24,1/13/2009,Abandoned Mine Plugger,https://www.tvmaze.com/episodes/77922/dirty-jobs-5x11-abandoned-mine-plugger
83,4,1,1/20/2009,Animal Rendering,https://www.tvmaze.com/episodes/77926/dirty-jobs-5x12-animal-rendering
84,4,2,1/27/2009,Goose Down Plucker,https://www.tvmaze.com/episodes/77928/dirty-jobs-5x13-goose-down-plucker
85,4,3,2/3/2009,Diaper Cleaner,https://www.tvmaze.com/episodes/77959/dirty-jobs-5x14-diaper-cleaner
86,4,4,2/3/2009,Spider Pharm,https://www.tvmaze.com/episodes/77930/dirty-jobs-5x15-spider-pharm
87,4,6,2/17/2009,Locomotive Builder,https://www.tvmaze.com/episodes/77931/dirty-jobs-5x16-locomotive-builder
88,4,7,10/6/2009,Mattress Recycler,https://www.tvmaze.com/episodes/77932/dirty-jobs-6x01-mattress-recycler
89,4,8,10/13/2009,High-Rise Window Washer,https://www.tvmaze.com/episodes/77933/dirty-jobs-6x02-high-rise-window-washer
90,4,9,10/20/2009,Toilet Crusher,https://www.tvmaze.com/episodes/77935/dirty-jobs-6x03-toilet-crusher
91,4,10,10/27/2009,Camel Rancher,https://www.tvmaze.com/episodes/77937/dirty-jobs-6x04-camel-rancher
92,4,11,11/3/2009,Tofu Maker,https://www.tvmaze.com/episodes/77938/dirty-jobs-6x05-tofu-maker
93,4,12,11/10/2009,Glass Maker,https://www.tvmaze.com/episodes/77970/dirty-jobs-6x06-glass-maker
94,4,13,11/17/2009,Rocky Reach Dam,https://www.tvmaze.com/episodes/77941/dirty-jobs-6x07-rocky-reach-dam
95,4,26,11/24/2009,Safety Third,https://www.tvmaze.com/episodes/2038705/dirty-jobs-6x08-safety-third
96,4,14,12/1/2009,Reindeer Farm,https://www.tvmaze.com/episodes/77942/dirty-jobs-6x09-reindeer-farm
97,4,15,12/15/2009,Marble Maker,https://www.tvmaze.com/episodes/2038693/dirty-jobs-6x10-marble-maker
98,4,16,12/15/2009,Fireworks Technician,https://www.tvmaze.com/episodes/77943/dirty-jobs-6x11-fireworks-technician
99,4,17,12/22/2009,Worm Grunter,https://www.tvmaze.com/episodes/2038694/dirty-jobs-6x12-worm-grunter
100,4,18,12/29/2009,Maple Syrup Maker,https://www.tvmaze.com/episodes/2038695/dirty-jobs-6x13-maple-syrup-maker
101,4,19,1/5/2010,Animal Control Specialist,https://www.tvmaze.com/episodes/2038696/dirty-jobs-6x14-animal-control-specialist
102,4,20,1/12/2010,Cricket Farmer,https://www.tvmaze.com/episodes/2038699/dirty-jobs-6x15-cricket-farmer
103,4,21,1/19/2010,Chicken Busters,https://www.tvmaze.com/episodes/2038701/dirty-jobs-6x16-chicken-busters
104,4,22,1/26/2010,Soo Locks Technician,https://www.tvmaze.com/episodes/2038700/dirty-jobs-6x17-soo-locks-technician
105,4,23,2/2/2010,Concrete Finisher,https://www.tvmaze.com/episodes/2038702/dirty-jobs-6x18-concrete-finisher
106,4,24,9/19/2010,Bone Black,https://www.tvmaze.com/episodes/2038704/dirty-jobs-6x19-bone-black
107,4,25,2/24/2009,200 Jobs Look-Back,https://www.tvmaze.com/episodes/77962/dirty-jobs-s07-special-200-jobs-look-back
108,4,6,4/12/2009,Sled Dog Breeder,https://www.tvmaze.com/episodes/77964/dirty-jobs-s07-special-sled-dog-breeder
109,5,1,10/19/2010,Exotic Nanny,https://www.tvmaze.com/episodes/77987/dirty-jobs-7x01-exotic-nanny
110,5,2,10/26/2010,Wetland Warrior,https://www.tvmaze.com/episodes/77988/dirty-jobs-7x02-wetland-warrior
111,5,3,11/2/2010,Sea Lamprey Exterminator,https://www.tvmaze.com/episodes/77989/dirty-jobs-7x03-sea-lamprey-exterminator
112,5,4,11/9/2010,Animal Relocator,https://www.tvmaze.com/episodes/77990/dirty-jobs-7x04-animal-relocator
113,5,5,11/16/2010,Lightning Rod Installer,https://www.tvmaze.com/episodes/77991/dirty-jobs-7x05-lightning-rod-installer
114,5,6,11/21/2010,Woolen Mill Operator,https://www.tvmaze.com/episodes/77992/dirty-jobs-7x06-woolen-mill-operator
115,5,7,11/23/2010,Pinsetter Mechanic,https://www.tvmaze.com/episodes/77993/dirty-jobs-7x07-pinsetter-mechanic
116,5,8,11/16/2010,Bug Detective,https://www.tvmaze.com/episodes/77994/dirty-jobs-7x08-bug-detective
117,5,9,11/30/2010,Horse Tester,https://www.tvmaze.com/episodes/77995/dirty-jobs-7x09-horse-tester
118,5,10,12/7/2010,Custom Meat Processor,https://www.tvmaze.com/episodes/77996/dirty-jobs-7x10-custom-meat-processor
119,5,11,12/28/2010,Date Palm Pollinator,https://www.tvmaze.com/episodes/77999/dirty-jobs-7x11-date-palm-pollinator
120,5,12,1/4/2011,Asphalt Paver,https://www.tvmaze.com/episodes/78000/dirty-jobs-7x12-asphalt-paver
121,5,13,1/11/2011,Rum Distiller,https://www.tvmaze.com/episodes/78001/dirty-jobs-7x13-rum-distiller
122,5,14,1/18/2011,Hair Fairy,https://www.tvmaze.com/episodes/78002/dirty-jobs-7x14-hair-fairy
123,5,15,2/1/2011,Scrapple Maker,https://www.tvmaze.com/episodes/78004/dirty-jobs-7x15-scrapple-maker
124,5,16,2/8/2011,Blueberry Connoisseur,https://www.tvmaze.com/episodes/78005/dirty-jobs-7x16-blueberry-connoisseur
125,5,17,2/15/2011,Sponge Diver,https://www.tvmaze.com/episodes/78006/dirty-jobs-7x17-sponge-diver
126,5,18,2/22/2011,Cedar Log Peeler,https://www.tvmaze.com/episodes/78007/dirty-jobs-7x18-cedar-log-peeler
127,5,19,3/1/2011,Termite Researcher,https://www.tvmaze.com/episodes/78008/dirty-jobs-7x19-termite-researcher
128,6,1,12/13/2011,Fish Squeezer,https://www.tvmaze.com/episodes/78010/dirty-jobs-8x01-fish-squeezer
129,6,2,12/20/2011,Fossil Hunter,https://www.tvmaze.com/episodes/78011/dirty-jobs-8x02-fossil-hunter
130,6,3,12/27/2011,Doomsday Seed Banker,https://www.tvmaze.com/episodes/78012/dirty-jobs-8x03-doomsday-seed-banker
131,6,4,1/3/2012,Water Softener Technician,https://www.tvmaze.com/episodes/78013/dirty-jobs-8x04-water-softener-technician
132,6,5,1/10/2012,Barber's Assistant,https://www.tvmaze.com/episodes/78014/dirty-jobs-8x05-barbers-assistant
133,6,6,1/17/2012,Mardi Gras Bladder Banger,https://www.tvmaze.com/episodes/78015/dirty-jobs-8x06-mardi-gras-bladder-banger
134,6,7,1/24/2012,Medical Waste Disposal Expert,https://www.tvmaze.com/episodes/78016/dirty-jobs-8x07-medical-waste-disposal-expert
135,6,8,2/7/2012,Tower Top Hand,https://www.tvmaze.com/episodes/78018/dirty-jobs-8x08-tower-top-hand
136,6,9,2/14/2012,Onion Processor,https://www.tvmaze.com/episodes/78019/dirty-jobs-8x09-onion-processor
137,7,1,8/22/2012,Lost in Aboriginal Land,https://www.tvmaze.com/episodes/78021/dirty-jobs-9x01-lost-in-aboriginal-land
138,7,2,8/29/2012,Deadly Snake Wrangler,https://www.tvmaze.com/episodes/78022/dirty-jobs-9x02-deadly-snake-wrangler
139,7,3,9/5/2012,Journey to Croc Country,https://www.tvmaze.com/episodes/78023/dirty-jobs-9x03-journey-to-croc-country
140,7,4,9/12/2012,Outback Treasure Hunter,https://www.tvmaze.com/episodes/78024/dirty-jobs-9x04-outback-treasure-hunter
141,8,1,,Rowe'd Trip: Infrastructure,
142,8,2,,Rowe'd Trip: Tight Spaces,
143,8,3,,Rowe'd Trip: Filthy  Animals,
144,8,4,,Rowe'd Trip: Problem Solvers,
145,9,1,1/2/2022,Rodbuster / Galvanizer,https://www.tvmaze.com/episodes/2216785/dirty-jobs-10x01-rodbuster-galvanizer
146,9,2,1/9/2022,Jellyballer / Epoxy Installer,https://www.tvmaze.com/episodes/2243021/dirty-jobs-10x02-jellyballer-epoxy-installer
147,9,3,1/16/2022,Tugboat Fitter / Water Tower Cleaner,https://www.tvmaze.com/episodes/2250517/dirty-jobs-10x03-tugboat-fitter-water-tower-cleaner
148,9,4,1/23/2022,Rock Sucker / Mountain Carver,https://www.tvmaze.com/episodes/2254014/dirty-jobs-10x04-rock-sucker-mountain-carver
